scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,43,stratified_shuffle,0,,43,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,pretrain_finetune,0.991,0.666,0.658,0.949,0.618,0.62,0.99,0.653,0.626,4.405,0.709,,,,,0.735,0.674,0.678,485
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,43,stratified_shuffle,0,,43,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,target_only,0.991,0.688,0.68,0.946,0.635,0.636,0.989,0.656,0.65,,0.696,,,,,,,,58
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,43,stratified_shuffle,0,,43,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,pretrain_finetune,1.0,0.683,0.65,0.991,0.627,0.618,1.0,0.599,0.583,1.978,0.688,,,,,0.728,0.665,0.7,369
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,43,stratified_shuffle,0,,43,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,target_only,1.0,0.684,0.667,0.992,0.631,0.631,1.0,0.612,0.596,,0.648,,,,,,,,99
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,43,stratified_shuffle,0,,43,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,pretrain_finetune,0.883,0.594,0.586,0.766,0.561,0.568,0.867,0.525,0.534,3.607,0.286,,,,,0.739,0.68,0.702,501
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,43,stratified_shuffle,0,,43,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,target_only,0.97,0.617,0.606,0.912,0.605,0.583,0.969,0.566,0.559,,0.257,,,,,,,,39
