scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,44,stratified_shuffle,0,,44,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,pretrain_finetune,0.998,0.682,0.686,0.976,0.64,0.638,0.998,0.666,0.663,2.826,1.073,,,,,0.746,0.686,0.694,639
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,44,stratified_shuffle,0,,44,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,target_only,0.976,0.691,0.699,0.917,0.639,0.647,0.973,0.676,0.676,,0.618,,,,,,,,91
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,44,stratified_shuffle,0,,44,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,pretrain_finetune,0.967,0.672,0.686,0.9,0.649,0.638,0.961,0.624,0.62,2.43,0.74,,,,,0.739,0.678,0.702,497
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,44,stratified_shuffle,0,,44,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,target_only,0.989,0.701,0.706,0.94,0.654,0.658,0.986,0.651,0.649,,0.763,,,,,,,,111
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,44,stratified_shuffle,0,,44,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,pretrain_finetune,0.93,0.604,0.63,0.835,0.579,0.596,0.92,0.529,0.576,2.882,0.45,,,,,0.735,0.674,0.704,542
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,44,stratified_shuffle,0,,44,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,target_only,0.933,0.629,0.658,0.84,0.592,0.616,0.928,0.573,0.609,,0.305,,,,,,,,26
