scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.6,45,stratified_shuffle,0,,45,9999.0,2500.0,31694.0,28524.0,3170.0,12499.0,9999.0,2500.0,8332.0,20831.0,0.6,lightgbm,pretrain_finetune,0.975,0.709,0.709,0.913,0.656,0.66,0.972,0.681,0.691,3.336,1.231,,,,,0.736,0.676,0.682,559
D-1+D-3→D-2,D-2,D-1+D-3,114,0.6,45,stratified_shuffle,0,,45,9999.0,2500.0,31694.0,28524.0,3170.0,12499.0,9999.0,2500.0,8332.0,20831.0,0.6,lightgbm,target_only,0.983,0.728,0.722,0.929,0.662,0.667,0.981,0.696,0.699,,1.15,,,,,,,,161
D-1+D-2→D-3,D-3,D-1+D-2,114,0.6,45,stratified_shuffle,0,,45,10376.0,2595.0,30906.0,27815.0,3091.0,12971.0,10376.0,2595.0,8648.0,21619.0,0.6,lightgbm,pretrain_finetune,0.998,0.724,0.713,0.976,0.662,0.657,0.997,0.667,0.654,2.821,1.553,,,,,0.73,0.676,0.706,693
D-1+D-2→D-3,D-3,D-1+D-2,114,0.6,45,stratified_shuffle,0,,45,10376.0,2595.0,30906.0,27815.0,3091.0,12971.0,10376.0,2595.0,8648.0,21619.0,0.6,lightgbm,target_only,0.998,0.74,0.726,0.982,0.678,0.675,0.998,0.683,0.669,,1.677,,,,,,,,255
D-2+D-3→D-1,D-1,D-2+D-3,114,0.6,45,stratified_shuffle,0,,45,4836.0,1209.0,42450.0,38205.0,4245.0,6045.0,4836.0,1209.0,4030.0,10075.0,0.6,lightgbm,pretrain_finetune,0.958,0.661,0.658,0.888,0.612,0.617,0.954,0.609,0.598,3.013,0.608,,,,,0.746,0.682,0.705,572
D-2+D-3→D-1,D-1,D-2+D-3,114,0.6,45,stratified_shuffle,0,,45,4836.0,1209.0,42450.0,38205.0,4245.0,6045.0,4836.0,1209.0,4030.0,10075.0,0.6,lightgbm,target_only,0.94,0.662,0.677,0.861,0.608,0.635,0.936,0.599,0.617,,0.438,,,,,,,,52
