scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.6,43,stratified_shuffle,0,,43,9999.0,2500.0,31694.0,28524.0,3170.0,12499.0,9999.0,2500.0,8332.0,20831.0,0.6,lightgbm,pretrain_finetune,0.998,0.729,0.711,0.974,0.676,0.655,0.997,0.698,0.69,3.14,1.352,,,,,0.735,0.674,0.678,676
D-1+D-3→D-2,D-2,D-1+D-3,114,0.6,43,stratified_shuffle,0,,43,9999.0,2500.0,31694.0,28524.0,3170.0,12499.0,9999.0,2500.0,8332.0,20831.0,0.6,lightgbm,target_only,0.98,0.734,0.723,0.921,0.668,0.665,0.978,0.703,0.703,,1.539,,,,,,,,155
D-1+D-2→D-3,D-3,D-1+D-2,114,0.6,43,stratified_shuffle,0,,43,10376.0,2595.0,30906.0,27815.0,3091.0,12971.0,10376.0,2595.0,8648.0,21619.0,0.6,lightgbm,pretrain_finetune,0.99,0.731,0.709,0.947,0.681,0.661,0.988,0.675,0.646,2.564,1.477,,,,,0.728,0.665,0.7,459
D-1+D-2→D-3,D-3,D-1+D-2,114,0.6,43,stratified_shuffle,0,,43,10376.0,2595.0,30906.0,27815.0,3091.0,12971.0,10376.0,2595.0,8648.0,21619.0,0.6,lightgbm,target_only,0.995,0.737,0.721,0.966,0.684,0.67,0.994,0.693,0.66,,1.297,,,,,,,,214
D-2+D-3→D-1,D-1,D-2+D-3,114,0.6,43,stratified_shuffle,0,,43,4836.0,1209.0,42450.0,38205.0,4245.0,6045.0,4836.0,1209.0,4030.0,10075.0,0.6,lightgbm,pretrain_finetune,0.971,0.66,0.67,0.906,0.606,0.625,0.969,0.606,0.615,2.782,0.67,,,,,0.739,0.68,0.702,570
D-2+D-3→D-1,D-1,D-2+D-3,114,0.6,43,stratified_shuffle,0,,43,4836.0,1209.0,42450.0,38205.0,4245.0,6045.0,4836.0,1209.0,4030.0,10075.0,0.6,lightgbm,target_only,0.927,0.668,0.678,0.843,0.605,0.632,0.921,0.611,0.633,,0.377,,,,,,,,41
