scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,42,stratified_shuffle,0,,42,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,pretrain_finetune,0.991,0.644,0.648,0.949,0.601,0.613,0.988,0.626,0.615,2.274,0.576,,,,,0.729,0.679,0.685,413
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,42,stratified_shuffle,0,,42,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,target_only,0.995,0.675,0.665,0.967,0.631,0.624,0.993,0.655,0.637,,0.498,,,,,,,,69
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,42,stratified_shuffle,0,,42,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,pretrain_finetune,0.998,0.675,0.656,0.973,0.625,0.619,0.998,0.612,0.595,2.954,0.734,,,,,0.729,0.662,0.708,380
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,42,stratified_shuffle,0,,42,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,target_only,0.998,0.695,0.669,0.975,0.635,0.633,0.997,0.641,0.61,,0.618,,,,,,,,70
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,42,stratified_shuffle,0,,42,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,pretrain_finetune,0.946,0.607,0.603,0.86,0.6,0.577,0.938,0.564,0.539,3.663,0.4,,,,,0.741,0.686,0.7,528
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,42,stratified_shuffle,0,,42,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,target_only,0.955,0.615,0.619,0.877,0.558,0.591,0.95,0.582,0.562,,0.251,,,,,,,,30
