scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,42,stratified_shuffle,0,,42,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,pretrain_finetune,0.948,0.681,0.685,0.872,0.635,0.64,0.94,0.65,0.663,2.453,0.625,,,,,0.729,0.679,0.685,421
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,42,stratified_shuffle,0,,42,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,target_only,0.983,0.704,0.707,0.93,0.66,0.65,0.981,0.678,0.689,,0.667,,,,,,,,102
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,42,stratified_shuffle,0,,42,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,pretrain_finetune,0.994,0.713,0.691,0.964,0.649,0.648,0.993,0.661,0.63,1.799,0.934,,,,,0.729,0.662,0.708,441
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,42,stratified_shuffle,0,,42,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,target_only,0.993,0.72,0.702,0.955,0.672,0.652,0.992,0.676,0.643,,0.791,,,,,,,,126
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,42,stratified_shuffle,0,,42,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,pretrain_finetune,0.981,0.671,0.633,0.921,0.635,0.598,0.979,0.62,0.572,2.824,0.583,,,,,0.741,0.686,0.7,570
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,42,stratified_shuffle,0,,42,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,target_only,0.983,0.681,0.655,0.924,0.623,0.62,0.981,0.63,0.596,,0.512,,,,,,,,81
