scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.6,44,stratified_shuffle,0,,44,9999.0,2500.0,31694.0,28524.0,3170.0,12499.0,9999.0,2500.0,8332.0,20831.0,0.6,lightgbm,pretrain_finetune,0.959,0.694,0.707,0.888,0.647,0.656,0.954,0.679,0.686,3.526,1.059,,,,,0.746,0.686,0.694,587
D-1+D-3→D-2,D-2,D-1+D-3,114,0.6,44,stratified_shuffle,0,,44,9999.0,2500.0,31694.0,28524.0,3170.0,12499.0,9999.0,2500.0,8332.0,20831.0,0.6,lightgbm,target_only,0.965,0.71,0.714,0.895,0.666,0.659,0.961,0.699,0.694,,0.847,,,,,,,,121
D-1+D-2→D-3,D-3,D-1+D-2,114,0.6,44,stratified_shuffle,0,,44,10376.0,2595.0,30906.0,27815.0,3091.0,12971.0,10376.0,2595.0,8648.0,21619.0,0.6,lightgbm,pretrain_finetune,0.974,0.715,0.711,0.912,0.664,0.659,0.969,0.66,0.654,2.27,1.038,,,,,0.739,0.678,0.702,550
D-1+D-2→D-3,D-3,D-1+D-2,114,0.6,44,stratified_shuffle,0,,44,10376.0,2595.0,30906.0,27815.0,3091.0,12971.0,10376.0,2595.0,8648.0,21619.0,0.6,lightgbm,target_only,0.999,0.734,0.721,0.983,0.68,0.665,0.998,0.677,0.663,,1.186,,,,,,,,254
D-2+D-3→D-1,D-1,D-2+D-3,114,0.6,44,stratified_shuffle,0,,44,4836.0,1209.0,42450.0,38205.0,4245.0,6045.0,4836.0,1209.0,4030.0,10075.0,0.6,lightgbm,pretrain_finetune,0.979,0.666,0.669,0.915,0.611,0.619,0.977,0.613,0.615,2.737,0.732,,,,,0.735,0.674,0.704,609
D-2+D-3→D-1,D-1,D-2+D-3,114,0.6,44,stratified_shuffle,0,,44,4836.0,1209.0,42450.0,38205.0,4245.0,6045.0,4836.0,1209.0,4030.0,10075.0,0.6,lightgbm,target_only,0.966,0.687,0.689,0.892,0.628,0.632,0.963,0.64,0.637,,0.543,,,,,,,,77
