scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,45,stratified_shuffle,0,,45,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,pretrain_finetune,0.878,0.63,0.638,0.793,0.608,0.603,0.864,0.593,0.605,2.364,0.423,,,,,0.736,0.676,0.682,432
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,45,stratified_shuffle,0,,45,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,target_only,0.985,0.642,0.666,0.935,0.6,0.624,0.984,0.614,0.64,,0.39,,,,,,,,49
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,45,stratified_shuffle,0,,45,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,pretrain_finetune,0.999,0.661,0.646,0.987,0.624,0.61,0.999,0.587,0.583,2.447,0.658,,,,,0.73,0.676,0.706,544
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,45,stratified_shuffle,0,,45,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,target_only,1.0,0.678,0.654,0.992,0.63,0.622,1.0,0.613,0.595,,0.565,,,,,,,,91
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,45,stratified_shuffle,0,,45,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,pretrain_finetune,0.978,0.661,0.612,0.917,0.615,0.583,0.975,0.575,0.556,3.726,0.608,,,,,0.746,0.682,0.705,561
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,45,stratified_shuffle,0,,45,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,target_only,0.969,0.66,0.62,0.908,0.61,0.588,0.967,0.605,0.564,,0.39,,,,,,,,41
