scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,44,stratified_shuffle,0,,44,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,pretrain_finetune,0.915,0.62,0.639,0.827,0.585,0.608,0.905,0.586,0.61,2.697,0.404,,,,,0.746,0.686,0.694,494
D-1+D-3→D-2,D-2,D-1+D-3,114,0.2,44,stratified_shuffle,0,,44,3332.0,834.0,31694.0,28524.0,3170.0,4166.0,3332.0,834.0,16665.0,20831.0,0.2,lightgbm,target_only,0.98,0.666,0.672,0.93,0.622,0.63,0.977,0.643,0.65,,0.373,,,,,,,,43
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,44,stratified_shuffle,0,,44,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,pretrain_finetune,0.995,0.651,0.661,0.966,0.617,0.623,0.995,0.595,0.597,3.104,0.634,,,,,0.739,0.678,0.702,483
D-1+D-2→D-3,D-3,D-1+D-2,114,0.2,44,stratified_shuffle,0,,44,3459.0,865.0,30906.0,27815.0,3091.0,4324.0,3459.0,865.0,17295.0,21619.0,0.2,lightgbm,target_only,0.984,0.672,0.673,0.929,0.642,0.63,0.981,0.626,0.61,,0.676,,,,,,,,48
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,44,stratified_shuffle,0,,44,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,pretrain_finetune,0.959,0.604,0.615,0.88,0.578,0.585,0.95,0.536,0.557,2.747,0.309,,,,,0.735,0.674,0.704,547
D-2+D-3→D-1,D-1,D-2+D-3,114,0.2,44,stratified_shuffle,0,,44,1612.0,403.0,42450.0,38205.0,4245.0,2015.0,1612.0,403.0,8060.0,10075.0,0.2,lightgbm,target_only,0.963,0.602,0.608,0.891,0.583,0.583,0.956,0.523,0.552,,0.266,,,,,,,,35
