scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,45,stratified_shuffle,0,,45,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,pretrain_finetune,0.961,0.698,0.685,0.888,0.652,0.639,0.955,0.679,0.664,2.778,0.711,,,,,0.736,0.676,0.682,493
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,45,stratified_shuffle,0,,45,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,target_only,0.978,0.697,0.7,0.918,0.652,0.647,0.975,0.688,0.679,,0.769,,,,,,,,96
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,45,stratified_shuffle,0,,45,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,pretrain_finetune,0.999,0.675,0.694,0.982,0.628,0.647,0.998,0.619,0.64,2.937,1.4,,,,,0.73,0.676,0.706,621
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,45,stratified_shuffle,0,,45,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,target_only,0.991,0.7,0.7,0.95,0.647,0.649,0.989,0.627,0.643,,0.799,,,,,,,,112
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,45,stratified_shuffle,0,,45,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,pretrain_finetune,0.921,0.63,0.626,0.815,0.599,0.593,0.911,0.583,0.567,4.127,0.418,,,,,0.746,0.682,0.705,534
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,45,stratified_shuffle,0,,45,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,target_only,0.929,0.632,0.647,0.845,0.594,0.608,0.924,0.577,0.589,,0.303,,,,,,,,23
