scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,43,stratified_shuffle,0,,43,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,pretrain_finetune,0.968,0.679,0.689,0.901,0.63,0.641,0.963,0.649,0.663,3.208,0.837,,,,,0.735,0.674,0.678,511
D-1+D-3→D-2,D-2,D-1+D-3,114,0.4,43,stratified_shuffle,0,,43,6665.0,1667.0,31694.0,28524.0,3170.0,8332.0,6665.0,1667.0,12499.0,20831.0,0.4,lightgbm,target_only,0.981,0.707,0.707,0.926,0.652,0.652,0.978,0.678,0.685,,0.789,,,,,,,,104
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,43,stratified_shuffle,0,,43,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,pretrain_finetune,0.981,0.675,0.689,0.925,0.634,0.644,0.977,0.61,0.626,1.897,0.872,,,,,0.728,0.665,0.7,371
D-1+D-2→D-3,D-3,D-1+D-2,114,0.4,43,stratified_shuffle,0,,43,6917.0,1730.0,30906.0,27815.0,3091.0,8647.0,6917.0,1730.0,12972.0,21619.0,0.4,lightgbm,target_only,0.981,0.691,0.7,0.924,0.647,0.655,0.977,0.629,0.637,,0.657,,,,,,,,92
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,43,stratified_shuffle,0,,43,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,pretrain_finetune,0.965,0.652,0.639,0.901,0.612,0.596,0.962,0.591,0.583,3.712,0.538,,,,,0.739,0.68,0.702,534
D-2+D-3→D-1,D-1,D-2+D-3,114,0.4,43,stratified_shuffle,0,,43,3224.0,806.0,42450.0,38205.0,4245.0,4030.0,3224.0,806.0,6045.0,10075.0,0.4,lightgbm,target_only,0.981,0.676,0.658,0.926,0.634,0.614,0.979,0.624,0.607,,0.521,,,,,,,,73
