scenario,target,sources,feature_count,ft_ratio,seed,split_strategy,fold_id,test_groups,split_seed,train_samples,val_samples,pretrain_samples,pretrain_train_samples,pretrain_val_samples,adapt_samples,adapt_train_samples,adapt_val_samples,eval_samples,target_total_samples,ft_ratio_effective,model,mode,train_auroc,val_auroc,test_auroc,train_accuracy,val_accuracy,test_accuracy,train_auprc,val_auprc,test_auprc,pretrain_seconds,finetune_seconds,adapt_seconds,pretrain_epochs,finetune_epochs,adapt_epochs,pretrain_val_auroc,pretrain_val_accuracy,pretrain_val_auprc,best_iteration
D-1+D-3→D-2,D-2,D-1+D-3,114,0.0,45,stratified_shuffle,0,,45,0.0,0.0,31694.0,28524.0,3170.0,0.0,0.0,0.0,20831.0,20831.0,0.0,lightgbm,pretrain_finetune,,,0.528,,,0.524,,,0.494,4.014,0.0,,,,,0.736,0.676,0.682,407
D-1+D-2→D-3,D-3,D-1+D-2,114,0.0,45,stratified_shuffle,0,,45,0.0,0.0,30906.0,27815.0,3091.0,0.0,0.0,0.0,21619.0,21619.0,0.0,lightgbm,pretrain_finetune,,,0.547,,,0.521,,,0.493,2.571,0.0,,,,,0.73,0.676,0.706,447
D-2+D-3→D-1,D-1,D-2+D-3,114,0.0,45,stratified_shuffle,0,,45,0.0,0.0,42450.0,38205.0,4245.0,0.0,0.0,0.0,10075.0,10075.0,0.0,lightgbm,pretrain_finetune,,,0.542,,,0.549,,,0.492,4.244,0.0,,,,,0.746,0.682,0.705,501
